age,authorize_threshold,review_threshold,evidence_mode,score,decision
0,0.8,0.55,complete,1.0,AUTHORIZED
0,0.8,0.55,insufficient,0.9,BLOCKED
0,0.8,0.62,complete,1.0,AUTHORIZED
0,0.8,0.62,insufficient,0.9,BLOCKED
0,0.8,0.7,complete,1.0,AUTHORIZED
0,0.8,0.7,insufficient,0.9,BLOCKED
0,0.8,0.76,complete,1.0,AUTHORIZED
0,0.8,0.76,insufficient,0.9,BLOCKED
0,0.85,0.55,complete,1.0,AUTHORIZED
0,0.85,0.55,insufficient,0.9,BLOCKED
0,0.85,0.62,complete,1.0,AUTHORIZED
0,0.85,0.62,insufficient,0.9,BLOCKED
0,0.85,0.7,complete,1.0,AUTHORIZED
0,0.85,0.7,insufficient,0.9,BLOCKED
0,0.85,0.76,complete,1.0,AUTHORIZED
0,0.85,0.76,insufficient,0.9,BLOCKED
0,0.9,0.55,complete,1.0,AUTHORIZED
0,0.9,0.55,insufficient,0.9,BLOCKED
0,0.9,0.62,complete,1.0,AUTHORIZED
0,0.9,0.62,insufficient,0.9,BLOCKED
0,0.9,0.7,complete,1.0,AUTHORIZED
0,0.9,0.7,insufficient,0.9,BLOCKED
0,0.9,0.76,complete,1.0,AUTHORIZED
0,0.9,0.76,insufficient,0.9,BLOCKED
24,0.8,0.55,complete,0.8419698602928606,AUTHORIZED
24,0.8,0.55,insufficient,0.7419698602928606,BLOCKED
24,0.8,0.62,complete,0.8419698602928606,AUTHORIZED
24,0.8,0.62,insufficient,0.7419698602928606,BLOCKED
24,0.8,0.7,complete,0.8419698602928606,AUTHORIZED
24,0.8,0.7,insufficient,0.7419698602928606,BLOCKED
24,0.8,0.76,complete,0.8419698602928606,AUTHORIZED
24,0.8,0.76,insufficient,0.7419698602928606,BLOCKED
24,0.85,0.55,complete,0.8419698602928606,HUMAN_REVIEW
24,0.85,0.55,insufficient,0.7419698602928606,BLOCKED
24,0.85,0.62,complete,0.8419698602928606,HUMAN_REVIEW
24,0.85,0.62,insufficient,0.7419698602928606,BLOCKED
24,0.85,0.7,complete,0.8419698602928606,HUMAN_REVIEW
24,0.85,0.7,insufficient,0.7419698602928606,BLOCKED
24,0.85,0.76,complete,0.8419698602928606,HUMAN_REVIEW
24,0.85,0.76,insufficient,0.7419698602928606,BLOCKED
24,0.9,0.55,complete,0.8419698602928606,HUMAN_REVIEW
24,0.9,0.55,insufficient,0.7419698602928606,BLOCKED
24,0.9,0.62,complete,0.8419698602928606,HUMAN_REVIEW
24,0.9,0.62,insufficient,0.7419698602928606,BLOCKED
24,0.9,0.7,complete,0.8419698602928606,HUMAN_REVIEW
24,0.9,0.7,insufficient,0.7419698602928606,BLOCKED
24,0.9,0.76,complete,0.8419698602928606,HUMAN_REVIEW
24,0.9,0.76,insufficient,0.7419698602928606,BLOCKED
48,0.8,0.55,complete,0.7838338208091532,HUMAN_REVIEW
48,0.8,0.55,insufficient,0.6838338208091532,BLOCKED
48,0.8,0.62,complete,0.7838338208091532,HUMAN_REVIEW
48,0.8,0.62,insufficient,0.6838338208091532,BLOCKED
48,0.8,0.7,complete,0.7838338208091532,HUMAN_REVIEW
48,0.8,0.7,insufficient,0.6838338208091532,BLOCKED
48,0.8,0.76,complete,0.7838338208091532,HUMAN_REVIEW
48,0.8,0.76,insufficient,0.6838338208091532,BLOCKED
48,0.85,0.55,complete,0.7838338208091532,HUMAN_REVIEW
48,0.85,0.55,insufficient,0.6838338208091532,BLOCKED
48,0.85,0.62,complete,0.7838338208091532,HUMAN_REVIEW
48,0.85,0.62,insufficient,0.6838338208091532,BLOCKED
48,0.85,0.7,complete,0.7838338208091532,HUMAN_REVIEW
48,0.85,0.7,insufficient,0.6838338208091532,BLOCKED
48,0.85,0.76,complete,0.7838338208091532,HUMAN_REVIEW
48,0.85,0.76,insufficient,0.6838338208091532,BLOCKED
48,0.9,0.55,complete,0.7838338208091532,HUMAN_REVIEW
48,0.9,0.55,insufficient,0.6838338208091532,BLOCKED
48,0.9,0.62,complete,0.7838338208091532,HUMAN_REVIEW
48,0.9,0.62,insufficient,0.6838338208091532,BLOCKED
48,0.9,0.7,complete,0.7838338208091532,HUMAN_REVIEW
48,0.9,0.7,insufficient,0.6838338208091532,BLOCKED
48,0.9,0.76,complete,0.7838338208091532,HUMAN_REVIEW
48,0.9,0.76,insufficient,0.6838338208091532,BLOCKED
96,0.8,0.55,complete,0.7545789097221836,HUMAN_REVIEW
96,0.8,0.55,insufficient,0.6545789097221836,BLOCKED
96,0.8,0.62,complete,0.7545789097221836,HUMAN_REVIEW
96,0.8,0.62,insufficient,0.6545789097221836,BLOCKED
96,0.8,0.7,complete,0.7545789097221836,HUMAN_REVIEW
96,0.8,0.7,insufficient,0.6545789097221836,BLOCKED
96,0.8,0.76,complete,0.7545789097221836,BLOCKED
96,0.8,0.76,insufficient,0.6545789097221836,BLOCKED
96,0.85,0.55,complete,0.7545789097221836,HUMAN_REVIEW
96,0.85,0.55,insufficient,0.6545789097221836,BLOCKED
96,0.85,0.62,complete,0.7545789097221836,HUMAN_REVIEW
96,0.85,0.62,insufficient,0.6545789097221836,BLOCKED
96,0.85,0.7,complete,0.7545789097221836,HUMAN_REVIEW
96,0.85,0.7,insufficient,0.6545789097221836,BLOCKED
96,0.85,0.76,complete,0.7545789097221836,BLOCKED
96,0.85,0.76,insufficient,0.6545789097221836,BLOCKED
96,0.9,0.55,complete,0.7545789097221836,HUMAN_REVIEW
96,0.9,0.55,insufficient,0.6545789097221836,BLOCKED
96,0.9,0.62,complete,0.7545789097221836,HUMAN_REVIEW
96,0.9,0.62,insufficient,0.6545789097221836,BLOCKED
96,0.9,0.7,complete,0.7545789097221836,HUMAN_REVIEW
96,0.9,0.7,insufficient,0.6545789097221836,BLOCKED
96,0.9,0.76,complete,0.7545789097221836,BLOCKED
96,0.9,0.76,insufficient,0.6545789097221836,BLOCKED
